TotalCharge,Groups,Envelope ,Miles
558.72,Std -- No Offer,Standard,No Offer
1898.68,Std -- No Offer,Standard,No Offer
3400.05,Std -- No Offer,Standard,No Offer
2003.4,Std -- No Offer,Standard,No Offer
2009.51,Std -- No Offer,Standard,No Offer
1578.96,Std -- No Offer,Standard,No Offer
2414.45,Std -- No Offer,Standard,No Offer
615.86,Std -- No Offer,Standard,No Offer
331.03,Std -- No Offer,Standard,No Offer
1881.99,Std -- No Offer,Standard,No Offer
3720.28,Std -- No Offer,Standard,No Offer
1922.96,Std -- No Offer,Standard,No Offer
2599.83,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
312.15,Std -- No Offer,Standard,No Offer
2805.27,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1658.32,Std -- No Offer,Standard,No Offer
3472.74,Std -- No Offer,Standard,No Offer
3166.76,Std -- No Offer,Standard,No Offer
269.51,Std -- No Offer,Standard,No Offer
3541.01,Std -- No Offer,Standard,No Offer
508.85,Std -- No Offer,Standard,No Offer
2471.38,Std -- No Offer,Standard,No Offer
1696.98,Std -- No Offer,Standard,No Offer
1615.98,Std -- No Offer,Standard,No Offer
2862.92,Std -- No Offer,Standard,No Offer
1923.42,Std -- No Offer,Standard,No Offer
2036.15,Std -- No Offer,Standard,No Offer
2613.03,Std -- No Offer,Standard,No Offer
2014.81,Std -- No Offer,Standard,No Offer
2053.35,Std -- No Offer,Standard,No Offer
2388.43,Std -- No Offer,Standard,No Offer
446.96,Std -- No Offer,Standard,No Offer
256.67,Std -- No Offer,Standard,No Offer
905.95,Std -- No Offer,Standard,No Offer
1536.33,Std -- No Offer,Standard,No Offer
2262.65,Std -- No Offer,Standard,No Offer
1815.81,Std -- No Offer,Standard,No Offer
294.93,Std -- No Offer,Standard,No Offer
2375.99,Std -- No Offer,Standard,No Offer
264.19,Std -- No Offer,Standard,No Offer
2101.25,Std -- No Offer,Standard,No Offer
688.85,Std -- No Offer,Standard,No Offer
344.19,Std -- No Offer,Standard,No Offer
1759.15,Std -- No Offer,Standard,No Offer
1631.33,Std -- No Offer,Standard,No Offer
1223.56,Std -- No Offer,Standard,No Offer
255.54,Std -- No Offer,Standard,No Offer
2003.65,Std -- No Offer,Standard,No Offer
1809.78,Std -- No Offer,Standard,No Offer
2228.97,Std -- No Offer,Standard,No Offer
1636.07,Std -- No Offer,Standard,No Offer
1211.77,Std -- No Offer,Standard,No Offer
906.17,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
2758.84,Std -- No Offer,Standard,No Offer
2190.8,Std -- No Offer,Standard,No Offer
316.56,Std -- No Offer,Standard,No Offer
2472.72,Std -- No Offer,Standard,No Offer
561.87,Std -- No Offer,Standard,No Offer
2631.82,Std -- No Offer,Standard,No Offer
978.09,Std -- No Offer,Standard,No Offer
2089.76,Std -- No Offer,Standard,No Offer
292.83,Std -- No Offer,Standard,No Offer
2982.07,Std -- No Offer,Standard,No Offer
4126.06,Std -- No Offer,Standard,No Offer
2126.29,Std -- No Offer,Standard,No Offer
3296.68,Std -- No Offer,Standard,No Offer
968.02,Std -- No Offer,Standard,No Offer
1516.42,Std -- No Offer,Standard,No Offer
2905.83,Std -- No Offer,Standard,No Offer
2070.99,Std -- No Offer,Standard,No Offer
2402.02,Std -- No Offer,Standard,No Offer
1777.43,Std -- No Offer,Standard,No Offer
258.87,Std -- No Offer,Standard,No Offer
2381.05,Std -- No Offer,Standard,No Offer
1620.12,Std -- No Offer,Standard,No Offer
349.32,Std -- No Offer,Standard,No Offer
1071.76,Std -- No Offer,Standard,No Offer
2115.8,Std -- No Offer,Standard,No Offer
522.02,Std -- No Offer,Standard,No Offer
1611.77,Std -- No Offer,Standard,No Offer
1725.06,Std -- No Offer,Standard,No Offer
776.39,Std -- No Offer,Standard,No Offer
850.43,Std -- No Offer,Standard,No Offer
2207.96,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
4094.28,Std -- No Offer,Standard,No Offer
2917.99,Std -- No Offer,Standard,No Offer
2787.59,Std -- No Offer,Standard,No Offer
2175.47,Std -- No Offer,Standard,No Offer
289.74,Std -- No Offer,Standard,No Offer
1789.8,Std -- No Offer,Standard,No Offer
1486.13,Std -- No Offer,Standard,No Offer
1036.67,Std -- No Offer,Standard,No Offer
1975.76,Std -- No Offer,Standard,No Offer
287.12,Std -- No Offer,Standard,No Offer
1552.89,Std -- No Offer,Standard,No Offer
858.1,Std -- No Offer,Standard,No Offer
1460.68,Std -- No Offer,Standard,No Offer
1603.89,Std -- No Offer,Standard,No Offer
623.21,Std -- No Offer,Standard,No Offer
1631.09,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1210.44,Std -- No Offer,Standard,No Offer
3202.64,Std -- No Offer,Standard,No Offer
4012.2,Std -- No Offer,Standard,No Offer
1495.37,Std -- No Offer,Standard,No Offer
250.57,Std -- No Offer,Standard,No Offer
314.19,Std -- No Offer,Standard,No Offer
1055.08,Std -- No Offer,Standard,No Offer
2156.93,Std -- No Offer,Standard,No Offer
259.68,Std -- No Offer,Standard,No Offer
1547.54,Std -- No Offer,Standard,No Offer
1143.58,Std -- No Offer,Standard,No Offer
2435.57,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
2832.21,Std -- No Offer,Standard,No Offer
2337.11,Std -- No Offer,Standard,No Offer
1357.48,Std -- No Offer,Standard,No Offer
2905.38,Std -- No Offer,Standard,No Offer
360.11,Std -- No Offer,Standard,No Offer
2664.95,Std -- No Offer,Standard,No Offer
1882.47,Std -- No Offer,Standard,No Offer
871.64,Std -- No Offer,Standard,No Offer
1720.14,Std -- No Offer,Standard,No Offer
2997.6,Std -- No Offer,Standard,No Offer
4419.1,Std -- No Offer,Standard,No Offer
245,Std -- No Offer,Standard,No Offer
3599.88,Std -- No Offer,Standard,No Offer
1263.02,Std -- No Offer,Standard,No Offer
713.46,Std -- No Offer,Standard,No Offer
1067.53,Std -- No Offer,Standard,No Offer
369.98,Std -- No Offer,Standard,No Offer
1029.52,Std -- No Offer,Standard,No Offer
2679.63,Std -- No Offer,Standard,No Offer
561.39,Std -- No Offer,Standard,No Offer
788.11,Std -- No Offer,Standard,No Offer
1563.45,Std -- No Offer,Standard,No Offer
285.02,Std -- No Offer,Standard,No Offer
3053.03,Std -- No Offer,Standard,No Offer
2393.68,Std -- No Offer,Standard,No Offer
2147.63,Std -- No Offer,Standard,No Offer
2319.22,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
388.95,Std -- No Offer,Standard,No Offer
1900.76,Std -- No Offer,Standard,No Offer
3190.97,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1152.42,Std -- No Offer,Standard,No Offer
3906.46,Std -- No Offer,Standard,No Offer
2792.39,Std -- No Offer,Standard,No Offer
2260.3,Std -- No Offer,Standard,No Offer
287.02,Std -- No Offer,Standard,No Offer
2186.89,Std -- No Offer,Standard,No Offer
628.01,Std -- No Offer,Standard,No Offer
2417.68,Std -- No Offer,Standard,No Offer
1835.93,Std -- No Offer,Standard,No Offer
272.5,Std -- No Offer,Standard,No Offer
1541.59,Std -- No Offer,Standard,No Offer
254.97,Std -- No Offer,Standard,No Offer
347.56,Std -- No Offer,Standard,No Offer
270.21,Std -- No Offer,Standard,No Offer
2827.36,Std -- No Offer,Standard,No Offer
1653.09,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
3058.01,Std -- No Offer,Standard,No Offer
2071.17,Std -- No Offer,Standard,No Offer
383.61,Std -- No Offer,Standard,No Offer
1799.23,Std -- No Offer,Standard,No Offer
2219.57,Std -- No Offer,Standard,No Offer
425.4,Std -- No Offer,Standard,No Offer
3099.76,Std -- No Offer,Standard,No Offer
764.23,Std -- No Offer,Standard,No Offer
878.43,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
2184.26,Std -- No Offer,Standard,No Offer
1566.82,Std -- No Offer,Standard,No Offer
810.86,Std -- No Offer,Standard,No Offer
1759.33,Std -- No Offer,Standard,No Offer
1948.96,Std -- No Offer,Standard,No Offer
3809.28,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
286.67,Std -- No Offer,Standard,No Offer
2106.34,Std -- No Offer,Standard,No Offer
834.02,Std -- No Offer,Standard,No Offer
268.62,Std -- No Offer,Standard,No Offer
2312.55,Std -- No Offer,Standard,No Offer
1197.04,Std -- No Offer,Standard,No Offer
2078.09,Std -- No Offer,Standard,No Offer
2401.95,Std -- No Offer,Standard,No Offer
1300.16,Std -- No Offer,Standard,No Offer
2072.72,Std -- No Offer,Standard,No Offer
979.26,Std -- No Offer,Standard,No Offer
1205.53,Std -- No Offer,Standard,No Offer
505.38,Std -- No Offer,Standard,No Offer
1282.67,Std -- No Offer,Standard,No Offer
1944.8,Std -- No Offer,Standard,No Offer
1439.27,Std -- No Offer,Standard,No Offer
2338.53,Std -- No Offer,Standard,No Offer
3324.45,Std -- No Offer,Standard,No Offer
2565.23,Std -- No Offer,Standard,No Offer
2684.19,Std -- No Offer,Standard,No Offer
417.32,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1362.03,Std -- No Offer,Standard,No Offer
2175.51,Std -- No Offer,Standard,No Offer
2841.53,Std -- No Offer,Standard,No Offer
2791.03,Std -- No Offer,Standard,No Offer
255.68,Std -- No Offer,Standard,No Offer
263.33,Std -- No Offer,Standard,No Offer
2176.28,Std -- No Offer,Standard,No Offer
334.81,Std -- No Offer,Standard,No Offer
2314.58,Std -- No Offer,Standard,No Offer
1011.58,Std -- No Offer,Standard,No Offer
1656.86,Std -- No Offer,Standard,No Offer
1266.12,Std -- No Offer,Standard,No Offer
2285.06,Std -- No Offer,Standard,No Offer
2012.92,Std -- No Offer,Standard,No Offer
2891.92,Std -- No Offer,Standard,No Offer
2532.47,Std -- No Offer,Standard,No Offer
2272.53,Std -- No Offer,Standard,No Offer
1433.1,Std -- No Offer,Standard,No Offer
848.55,Std -- No Offer,Standard,No Offer
2248.27,Std -- No Offer,Standard,No Offer
2309.09,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1760.15,Std -- No Offer,Standard,No Offer
510.25,Std -- No Offer,Standard,No Offer
1446.09,Std -- No Offer,Standard,No Offer
2981.47,Std -- No Offer,Standard,No Offer
1459.35,Std -- No Offer,Standard,No Offer
3392.09,Std -- No Offer,Standard,No Offer
1562.58,Std -- No Offer,Standard,No Offer
608.98,Std -- No Offer,Standard,No Offer
2545.76,Std -- No Offer,Standard,No Offer
3860.81,Std -- No Offer,Standard,No Offer
2272.24,Std -- No Offer,Standard,No Offer
702.42,Std -- No Offer,Standard,No Offer
2233.43,Std -- No Offer,Standard,No Offer
1971.52,Std -- No Offer,Standard,No Offer
992.15,Std -- No Offer,Standard,No Offer
1217.39,Std -- No Offer,Standard,No Offer
568.48,Std -- No Offer,Standard,No Offer
3653.13,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
3383.57,Std -- No Offer,Standard,No Offer
856.04,Std -- No Offer,Standard,No Offer
938.43,Std -- No Offer,Standard,No Offer
3362.34,Std -- No Offer,Standard,No Offer
1224.4,Std -- No Offer,Standard,No Offer
316.96,Std -- No Offer,Standard,No Offer
2084.03,Std -- No Offer,Standard,No Offer
1565.54,Std -- No Offer,Standard,No Offer
2178.12,Std -- No Offer,Standard,No Offer
332.6,Std -- No Offer,Standard,No Offer
4583.69,Std -- No Offer,Standard,No Offer
2583.21,Std -- No Offer,Standard,No Offer
860.44,Std -- No Offer,Standard,No Offer
313.54,Std -- No Offer,Standard,No Offer
2716.68,Std -- No Offer,Standard,No Offer
1606.21,Std -- No Offer,Standard,No Offer
1760.71,Std -- No Offer,Standard,No Offer
358.68,Std -- No Offer,Standard,No Offer
269.31,Std -- No Offer,Standard,No Offer
490.27,Std -- No Offer,Standard,No Offer
1524.4,Std -- No Offer,Standard,No Offer
2181.36,Std -- No Offer,Standard,No Offer
948.21,Std -- No Offer,Standard,No Offer
1980.96,Std -- No Offer,Standard,No Offer
1686.72,Std -- No Offer,Standard,No Offer
1741.26,Std -- No Offer,Standard,No Offer
1863.73,Std -- No Offer,Standard,No Offer
1451.9,Std -- No Offer,Standard,No Offer
252.09,Std -- No Offer,Standard,No Offer
2574.33,Std -- No Offer,Standard,No Offer
1638.39,Std -- No Offer,Standard,No Offer
1928.73,Std -- No Offer,Standard,No Offer
1483.01,Std -- No Offer,Standard,No Offer
2048.09,Std -- No Offer,Standard,No Offer
1987.59,Std -- No Offer,Standard,No Offer
2566.35,Std -- No Offer,Standard,No Offer
2335.39,Std -- No Offer,Standard,No Offer
2932.39,Std -- No Offer,Standard,No Offer
294.4,Std -- No Offer,Standard,No Offer
1384.84,Std -- No Offer,Standard,No Offer
1812.1,Std -- No Offer,Standard,No Offer
2742.7,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1086.9,Std -- No Offer,Standard,No Offer
259.58,Std -- No Offer,Standard,No Offer
1406.51,Std -- No Offer,Standard,No Offer
888.03,Std -- No Offer,Standard,No Offer
3987.83,Std -- No Offer,Standard,No Offer
370.06,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
309.5,Std -- No Offer,Standard,No Offer
1931.94,Std -- No Offer,Standard,No Offer
2221.14,Std -- No Offer,Standard,No Offer
2002.98,Std -- No Offer,Standard,No Offer
389.06,Std -- No Offer,Standard,No Offer
1916.17,Std -- No Offer,Standard,No Offer
1838.56,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
297.15,Std -- No Offer,Standard,No Offer
2701.28,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
2310,Std -- No Offer,Standard,No Offer
2415.21,Std -- No Offer,Standard,No Offer
2757.39,Std -- No Offer,Standard,No Offer
2056.42,Std -- No Offer,Standard,No Offer
2660.75,Std -- No Offer,Standard,No Offer
2042.86,Std -- No Offer,Standard,No Offer
2722.02,Std -- No Offer,Standard,No Offer
1914.76,Std -- No Offer,Standard,No Offer
3097.7,Std -- No Offer,Standard,No Offer
2274.51,Std -- No Offer,Standard,No Offer
2120.07,Std -- No Offer,Standard,No Offer
2657.34,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1004.85,Std -- No Offer,Standard,No Offer
1427.77,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1733.87,Std -- No Offer,Standard,No Offer
2858.7,Std -- No Offer,Standard,No Offer
2806.97,Std -- No Offer,Standard,No Offer
720.36,Std -- No Offer,Standard,No Offer
1320.64,Std -- No Offer,Standard,No Offer
1940.55,Std -- No Offer,Standard,No Offer
376.19,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
2306.18,Std -- No Offer,Standard,No Offer
1355.37,Std -- No Offer,Standard,No Offer
263.88,Std -- No Offer,Standard,No Offer
441.68,Std -- No Offer,Standard,No Offer
1008.62,Std -- No Offer,Standard,No Offer
1862.24,Std -- No Offer,Standard,No Offer
953.74,Std -- No Offer,Standard,No Offer
4010.78,Std -- No Offer,Standard,No Offer
4505.63,Std -- No Offer,Standard,No Offer
1624.11,Std -- No Offer,Standard,No Offer
935.35,Std -- No Offer,Standard,No Offer
2176.11,Std -- No Offer,Standard,No Offer
1334.26,Std -- No Offer,Standard,No Offer
2133.89,Std -- No Offer,Standard,No Offer
2012.34,Std -- No Offer,Standard,No Offer
1265.31,Std -- No Offer,Standard,No Offer
2276.82,Std -- No Offer,Standard,No Offer
2442.67,Std -- No Offer,Standard,No Offer
2465.26,Std -- No Offer,Standard,No Offer
283.02,Std -- No Offer,Standard,No Offer
686.98,Std -- No Offer,Standard,No Offer
1734.56,Std -- No Offer,Standard,No Offer
1272.85,Std -- No Offer,Standard,No Offer
2364.74,Std -- No Offer,Standard,No Offer
2240.09,Std -- No Offer,Standard,No Offer
1058.85,Std -- No Offer,Standard,No Offer
1333.83,Std -- No Offer,Standard,No Offer
2411.51,Std -- No Offer,Standard,No Offer
3940.56,Std -- No Offer,Standard,No Offer
1627.37,Std -- No Offer,Standard,No Offer
2575.42,Std -- No Offer,Standard,No Offer
4047.98,Std -- No Offer,Standard,No Offer
2387.11,Std -- No Offer,Standard,No Offer
469.01,Std -- No Offer,Standard,No Offer
281.23,Std -- No Offer,Standard,No Offer
1961.76,Std -- No Offer,Standard,No Offer
1608.47,Std -- No Offer,Standard,No Offer
456.91,Std -- No Offer,Standard,No Offer
506.18,Std -- No Offer,Standard,No Offer
578.29,Std -- No Offer,Standard,No Offer
624.57,Std -- No Offer,Standard,No Offer
1783.9,Std -- No Offer,Standard,No Offer
2330.5,Std -- No Offer,Standard,No Offer
252.36,Std -- No Offer,Standard,No Offer
952.22,Std -- No Offer,Standard,No Offer
2053.52,Std -- No Offer,Standard,No Offer
1626.33,Std -- No Offer,Standard,No Offer
1330.45,Std -- No Offer,Standard,No Offer
259.77,Std -- No Offer,Standard,No Offer
1970.97,Std -- No Offer,Standard,No Offer
2001.69,Std -- No Offer,Standard,No Offer
2512.42,Std -- No Offer,Standard,No Offer
500.96,Std -- No Offer,Standard,No Offer
2123.87,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
2022.12,Std -- No Offer,Standard,No Offer
1877.43,Std -- No Offer,Standard,No Offer
1705.93,Std -- No Offer,Standard,No Offer
1323.93,Std -- No Offer,Standard,No Offer
1640.47,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1721.66,Std -- No Offer,Standard,No Offer
2169.7,Std -- No Offer,Standard,No Offer
251.32,Std -- No Offer,Standard,No Offer
2726.76,Std -- No Offer,Standard,No Offer
2363.96,Std -- No Offer,Standard,No Offer
1408.38,Std -- No Offer,Standard,No Offer
1937.98,Std -- No Offer,Standard,No Offer
2404.24,Std -- No Offer,Standard,No Offer
349.01,Std -- No Offer,Standard,No Offer
950.92,Std -- No Offer,Standard,No Offer
3104.61,Std -- No Offer,Standard,No Offer
272.54,Std -- No Offer,Standard,No Offer
1762.43,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1221.94,Std -- No Offer,Standard,No Offer
955.21,Std -- No Offer,Standard,No Offer
1701.39,Std -- No Offer,Standard,No Offer
250.05,Std -- No Offer,Standard,No Offer
1170.53,Std -- No Offer,Standard,No Offer
2831.58,Std -- No Offer,Standard,No Offer
257.41,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
2766.61,Std -- No Offer,Standard,No Offer
1731.28,Std -- No Offer,Standard,No Offer
1245.88,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
3080.97,Std -- No Offer,Standard,No Offer
3074.95,Std -- No Offer,Standard,No Offer
425.28,Std -- No Offer,Standard,No Offer
3093.8,Std -- No Offer,Standard,No Offer
395.63,Std -- No Offer,Standard,No Offer
719.82,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1866.64,Std -- No Offer,Standard,No Offer
1335.92,Std -- No Offer,Standard,No Offer
1616.21,Std -- No Offer,Standard,No Offer
2693.22,Std -- No Offer,Standard,No Offer
2451.14,Std -- No Offer,Standard,No Offer
2106.92,Std -- No Offer,Standard,No Offer
2989.57,Std -- No Offer,Standard,No Offer
2120.74,Std -- No Offer,Standard,No Offer
445.96,Std -- No Offer,Standard,No Offer
290.12,Std -- No Offer,Standard,No Offer
4576.35,Std -- No Offer,Standard,No Offer
1623.34,Std -- No Offer,Standard,No Offer
2789.03,Std -- No Offer,Standard,No Offer
879.75,Std -- No Offer,Standard,No Offer
2635.55,Std -- No Offer,Standard,No Offer
1878.01,Std -- No Offer,Standard,No Offer
271.17,Std -- No Offer,Standard,No Offer
3115.11,Std -- No Offer,Standard,No Offer
284.22,Std -- No Offer,Standard,No Offer
252.34,Std -- No Offer,Standard,No Offer
2103.7,Std -- No Offer,Standard,No Offer
699.74,Std -- No Offer,Standard,No Offer
2818.19,Std -- No Offer,Standard,No Offer
2582.51,Std -- No Offer,Standard,No Offer
1826.79,Std -- No Offer,Standard,No Offer
1797.54,Std -- No Offer,Standard,No Offer
1999.58,Std -- No Offer,Standard,No Offer
3652.75,Std -- No Offer,Standard,No Offer
1237.21,Std -- No Offer,Standard,No Offer
534.84,Std -- No Offer,Standard,No Offer
1622.18,Std -- No Offer,Standard,No Offer
1672.59,Std -- No Offer,Standard,No Offer
1776.86,Std -- No Offer,Standard,No Offer
1338.77,Std -- No Offer,Standard,No Offer
2536.01,Std -- No Offer,Standard,No Offer
1832.78,Std -- No Offer,Standard,No Offer
288.49,Std -- No Offer,Standard,No Offer
1581.76,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1585.09,Std -- No Offer,Standard,No Offer
1906.58,Std -- No Offer,Standard,No Offer
4024.61,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1433.75,Std -- No Offer,Standard,No Offer
890.65,Std -- No Offer,Standard,No Offer
2078.78,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1838.41,Std -- No Offer,Standard,No Offer
2294.53,Std -- No Offer,Standard,No Offer
321.85,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1182.8,Std -- No Offer,Standard,No Offer
840.29,Std -- No Offer,Standard,No Offer
1001.23,Std -- No Offer,Standard,No Offer
1505.46,Std -- No Offer,Standard,No Offer
1334.72,Std -- No Offer,Standard,No Offer
2023.1,Std -- No Offer,Standard,No Offer
3410.94,Std -- No Offer,Standard,No Offer
1193.64,Std -- No Offer,Standard,No Offer
3627.84,Std -- No Offer,Standard,No Offer
1803.06,Std -- No Offer,Standard,No Offer
662.31,Std -- No Offer,Standard,No Offer
1624.85,Std -- No Offer,Standard,No Offer
3024.85,Std -- No Offer,Standard,No Offer
1943.37,Std -- No Offer,Standard,No Offer
1997.96,Std -- No Offer,Standard,No Offer
416.71,Std -- No Offer,Standard,No Offer
507.29,Std -- No Offer,Standard,No Offer
2483.18,Std -- No Offer,Standard,No Offer
405.69,Std -- No Offer,Standard,No Offer
2581.34,Std -- No Offer,Standard,No Offer
2460.62,Std -- No Offer,Standard,No Offer
2411.39,Std -- No Offer,Standard,No Offer
653.88,Std -- No Offer,Standard,No Offer
1608.57,Std -- No Offer,Standard,No Offer
287.98,Std -- No Offer,Standard,No Offer
273.76,Std -- No Offer,Standard,No Offer
1750.59,Std -- No Offer,Standard,No Offer
1959.36,Std -- No Offer,Standard,No Offer
1076.04,Std -- No Offer,Standard,No Offer
2733.14,Std -- No Offer,Standard,No Offer
2161.88,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
585.91,Std -- No Offer,Standard,No Offer
1932.45,Std -- No Offer,Standard,No Offer
1550.1,Std -- No Offer,Standard,No Offer
253.61,Std -- No Offer,Standard,No Offer
937.85,Std -- No Offer,Standard,No Offer
1692.5,Std -- No Offer,Standard,No Offer
1644.89,Std -- No Offer,Standard,No Offer
3444.92,Std -- No Offer,Standard,No Offer
376.8,Std -- No Offer,Standard,No Offer
2777.67,Std -- No Offer,Standard,No Offer
1111.07,Std -- No Offer,Standard,No Offer
2684.85,Std -- No Offer,Standard,No Offer
2943.68,Std -- No Offer,Standard,No Offer
1452.59,Std -- No Offer,Standard,No Offer
2414.69,Std -- No Offer,Standard,No Offer
1838.82,Std -- No Offer,Standard,No Offer
2293.82,Std -- No Offer,Standard,No Offer
1453.53,Std -- No Offer,Standard,No Offer
1295.77,Std -- No Offer,Standard,No Offer
2804.49,Std -- No Offer,Standard,No Offer
1846.18,Std -- No Offer,Standard,No Offer
634.42,Std -- No Offer,Standard,No Offer
1981.35,Std -- No Offer,Standard,No Offer
2263.38,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
495.88,Std -- No Offer,Standard,No Offer
2920.56,Std -- No Offer,Standard,No Offer
1998.68,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
1790.34,Std -- No Offer,Standard,No Offer
385.79,Std -- No Offer,Standard,No Offer
1207.01,Std -- No Offer,Standard,No Offer
280.83,Std -- No Offer,Standard,No Offer
2419.48,Std -- No Offer,Standard,No Offer
1603.28,Std -- No Offer,Standard,No Offer
2069.77,Std -- No Offer,Standard,No Offer
1188.02,Std -- No Offer,Standard,No Offer
403.3,Std -- No Offer,Standard,No Offer
1937.3,Std -- No Offer,Standard,No Offer
2225.97,Std -- No Offer,Standard,No Offer
1551.78,Std -- No Offer,Standard,No Offer
1052.96,Std -- No Offer,Standard,No Offer
1911.47,Std -- No Offer,Standard,No Offer
1641.65,Std -- No Offer,Standard,No Offer
1553.88,Std -- No Offer,Standard,No Offer
1266.54,Std -- No Offer,Standard,No Offer
1622.45,Std -- No Offer,Standard,No Offer
250,Std -- No Offer,Standard,No Offer
3205.14,Std -- No Offer,Standard,No Offer
541.8,Std -- No Offer,Standard,No Offer
1795.96,Std -- No Offer,Standard,No Offer
2011.97,Std -- No Offer,Standard,No Offer
1474.23,Std -- No Offer,Standard,No Offer
356.99,Std -- No Offer,Standard,No Offer
1204.77,Std -- No Offer,Standard,No Offer
1300.95,Std -- No Offer,Standard,No Offer
1045.93,Std -- No Offer,Standard,No Offer
1541.62,Std -- No Offer,Standard,No Offer
1533.41,Std -- No Offer,Standard,No Offer
